,EqVolTarget,RatesCarry,CommodityCurve,FxCarry,XAssetOverlay
2022-01-03,100.0,100.0,100.0,,
2022-01-04,100.0,100.0,100.0,,
2022-01-05,100.0,100.0,100.0,,
2022-01-06,100.0,100.0,100.0,,
2022-01-07,100.0,100.0,100.0,,
2022-01-10,100.0,100.0,100.0,,
2022-01-11,100.0,100.0,100.0,,
2022-01-12,100.0,100.0,100.0,,
2022-01-13,100.0,100.0,100.0,,
2022-01-14,100.0,100.0,100.0,,
2022-01-18,100.0,100.0,100.0,,
2022-01-19,100.0,100.0,100.0,,
2022-01-20,100.0,100.0,100.0,,
2022-01-21,100.0,100.0,100.0,,
2022-01-24,100.0,100.0,100.0,,
2022-01-25,100.0,100.0,100.0,,
2022-01-26,100.0,100.0,100.0,,
2022-01-27,100.0,100.0,100.0,,
2022-01-28,100.0,100.0,100.0,,
2022-01-31,100.0,100.0,100.0,,
2022-02-01,100.0,100.0,100.0,100.0,100.0
2022-02-02,100.0,99.655,100.0,100.0,100.0
2022-02-03,100.0,100.1034475,100.0,100.0,100.0
2022-02-04,100.0,101.229611284375,100.0,100.0,100.0
2022-02-07,100.0,101.1233201925264,100.0,100.0,100.0
2022-02-08,100.0,101.51636310490353,100.0,100.0,100.0
2022-02-09,100.0,101.21181401558881,100.0,100.0,100.0
2022-02-10,100.0,101.68244895076131,100.0,100.0,100.0
2022-02-11,100.0,100.50801666538003,100.0,100.0,100.0
2022-02-14,100.0,101.06582321074464,100.0,100.0,100.0
2022-02-15,100.0,101.77801603397896,100.0,100.0,100.0
2022-02-16,100.0,101.71133302493625,100.0,100.0,100.0
2022-02-17,100.0,101.22990114276473,100.0,100.0,100.0
2022-02-18,100.0,100.80823914119941,100.0,100.0,100.0
2022-02-22,100.0,100.80823914119941,100.0,100.0,100.0
2022-02-23,100.0,101.20435320502574,100.0,100.0,100.0
2022-02-24,100.0,101.01427634704676,100.0,100.0,100.0
2022-02-25,100.0,101.08283748733282,100.0,100.0,100.0
2022-02-28,99.9908160941923,100.04278959383693,100.0,100.0,100.0
2022-03-01,99.28612678364551,99.29871193623836,100.0,100.0,100.0
2022-03-02,100.1172211969193,99.9984034736687,100.0,100.0,100.0
2022-03-03,99.88777151491344,99.95353815400189,100.0,100.25449489967745,99.98244875070408
2022-03-04,99.51359936639464,99.25814021212732,100.0,100.32773995259672,99.1752820648131
2022-03-07,98.14625792692557,99.43959847158497,100.0,100.26592768378053,98.13786581494325
2022-03-08,97.80325904865077,99.78965670603208,100.0,99.92739397255761,97.86925359176996
2022-03-09,98.9914987685348,100.1874025601597,100.0,99.84038813732882,99.03363574736282
2022-03-10,98.78576924314815,100.36611020959771,100.0,100.15704501589975,99.26144655969935
2022-03-11,98.20529498984214,100.44155108151054,100.0,100.32949676009437,99.01128093124413
2022-03-14,97.87450751829913,101.09699017523171,100.0,100.01431190840594,99.01246820927608
2022-03-15,98.85212985424992,101.18354963074563,100.0,99.98855848629883,99.8310592085576
2022-03-16,99.84766746957729,101.28036447589625,100.0,100.38325538517824,101.03517865152884
2022-03-17,100.41772689192364,101.34894855497151,100.0,100.87832803659961,101.93405615709146
2022-03-18,100.92003683563078,100.96403723129495,100.0,101.43460595457717,102.43616093733871
2022-03-21,100.9064753105721,101.80645333353901,100.0,101.59680820994114,103.15705465724783
2022-03-22,101.44553268277305,102.10687748464994,100.0,102.42790897757395,104.39177844627304
2022-03-23,100.8417191578182,101.85862221364239,100.0,102.7945258468819,104.03040768316126
2022-03-24,101.53453348785266,101.96101112546303,100.0,103.06569412287021,104.7643373405547
